宝塔,浮图
生意业务,交易
背信,背约
施展,发挥
果断,判断
吞吐其辞,吞吞吐吐
空话,空论
天气,气象
拓荒,垦荒
忧心忡忡,内心不安
都市,都会
费尽心血,挖空心思
浪费,华侈
年纪,年事
清澈,清亮
飞驰,飞奔
抢救,挽救
内讧,内耗
劈腿,劈叉
香烟,卷烟
资助,帮助
勤劳,勤奋
歌颂,称誉
登基,即位
逼近,迫临
形影相吊,孓然一身
立足,藏身
比武,交手
歇息,安歇
隆冬,寒冬
鄙人,不才
气象,气候
饱满,丰满
丰厚,丰富
可巧,碰巧
慰劳,慰问
探索,索求
欠好,不好
中用,顶用
一丘之貉,难兄难弟
胡作非为,横行霸道
年代,年月
临机处置,临机应变
冷箭,暗箭
偷窥,窃视
军多将广,兵多将广
兴盛,隆盛
粗俗,粗鄙
惊奇,惊讶
劝说,挽劝
开朗,爽朗
打扰,打搅
泡茶,沏茶
攀附,高攀
气度,气宇
感激不尽,感激涕零
童子,孺子
蕃殖,繁生
建立,确立
灯号,暗记
抒难,解危
胜券在握,瓮中捉鳖
停笔,搁笔
良友,良朋
不留神,不留心
清除,排除
杏眼圆睁,柳眉倒竖
大张旗鼓,重振旗鼓
露水,露珠
土产,本地货
老小,老少
介意,介怀
矫枉过正,过犹不及
令出必行,驷不及舌
孤苦伶仃,孤家寡人
竞赛,比赛
展览场,陈列所
爽朗,开朗
诚惶诚恐,坐卧不安
监犯,犯人
令出必行,令出如山
众口一词,如出一口
赞同,赞成
草鞋,芒鞋
地动,地震
缺点,错误谬误
控诉,控告
命薄如花,美人命薄
掩盖,袒护
赞助,资助
彰明较着,明白昭彰
前景,远景
恬淡,澹泊
逢迎,奉承
默不作声,默默无言
校订,校正
国民,公民
条约,合同
抱屈,受冤
精深,精湛
杜康,狂药
天子,皇帝
有名,著名
胶葛,轇轕
墓木已拱,尸骨早寒
巧合,偶合
木排,木筏
作别,道别
弄堂,衖堂
夜阑人静,更深人静
动身,解缆
残害,践踏糟踏
温柔,温顺
大众,民众
奔走,驱驰
答复,回答
乍寒乍热,忽冷忽热
与日俱增,一日千里
大水,洪流
铁娘子,女强人
案卷,檀卷
孝顺,孝敬
寸晷,寸阴
暗号,记号
明白,分明
告别,辞别
拜望,拜见
积压,积存
怀胎,妊娠
平安无事,安然无事
极乐世界,神仙世界
风雅,大雅
算做,举动当作
阉人,宦官
抛弃,甩掉
定夺,决议确定
怪诞,荒诞
告别,离别
到临,来临
中原,华夏
举高,抬高
音调,调子
重担,重任
朦胧,昏黄
过目不忘,过目成诵
人口,生齿
积蓄,蓄积
推荐,保举
成规,陈规
天长地久,矢志不移
店主,东家
娇媚,妩媚
惦念,想念
猖獗,疯狂
家书,家信
承袭,秉承
救济,施舍
息息相关,互相关注
讹诈,敲诈
贪官污吏,贪官蠹役
相比,比拟
稽查,稽察
月尾,月底
灰心丧气,暮气沉沉
罢手,干休
孤苦伶仃,顾影自怜
佛学,梵学
才气,才华
良好,优越
间不容发,岌岌可危
孀居,寡居
均匀,平均
贫无立锥,一贫如洗
待价而沽,奇货可居
停止,休止
出头具名,出面
轰动,惊动
恬静,安静
土鸡瓦犬,石鼓沙田
窜改,篡改
鸡飞狗跳,鸡犬不宁
耽搁,担搁
脚迹,脚印行踪
少见多怪,见识浅短
嘱咐,叮嘱
根据,凭据
活扣,活结
望远镜,千里镜
演出,表演
情谊,友谊
布置,安置
多么,何等
顺序,挨次
目无王法,目无法纪
傻里傻气,笨头笨脑
弓鞬,弓套
灵活,灵巧
石蜡,白腊
残余,残存
微薄,菲薄
深湛,精深
告别,告辞
赞扬,赞赏
离合,聚散
暴露,表露
商讨,商议
不敷,不足
疑心,怀疑
检查,搜检
安分守己,安守故常
混乱,凌乱
同甘共苦,安危与共
铁蒺藜,铁丝网
公道,合理
雄心壮志,青云之志
攫取,牟取
匆忙,急忙
鲜丽,辉煌光耀
活泼,活跃
防患未然,有备无患
颠覆,倾覆
固若金汤,安如泰山
把戏,魔术
小节,末节
比翼双飞,鹿车共勉
挽救,拯救
发奋图强,自强不息
勇往直前,一往无前
零散,零碎
题名,落款
构造,机关
破裂,分裂
一定,必定
精悍,精干
戮力同心,同仇敌忾
谋略,盘算
目空一切,目若无人
凉帽,草帽
魄力,气概气派
笠衫,汗衫
褫夺,剥夺
蜜意,深情
好生之德,慈悲心肠
条约,公约
创新,立异
畜生,牲口
边疆,边陲
推戴,拥戴
枢纽关头,关节
临时,且自
本领,材干
妨害,波折
聚集,堆积
监禁,囚系
市井,街市
热闹,热烈
落伍,后进
衣饰,服饰
忌惮,顾忌
收获,收成
正当,合法
荣幸,幸运
连绵,联贯
醉翁之意,别有用心
遵从,顺从
赘瘤,肉瘤
璀璨,残暴
悄悄,暗暗
暗算,暗害
布衣粝食,布衣蔬食
逆境,窘境
阶级,阶层
集合,鸠合
愁闷,忧郁
篾片,傍友
相见恨晚,相知恨晚
开辟,开拓
祝愿,祝贺
辣手,毒手
风度翩翩,风姿潇洒
辩论,申辩
迁就,将就
浓厚,稠密
程序,法式
例行公事,官样文章
煤汽灯,汽油灯
怀疑,思疑
财贿,财货
金口木舌,暮鼓晨钟
泰山其颓,泰山殒落
法网恢恢,天网恢恢
别析,剖别
惊惶,错愕
守卫,守御
装甲车,坦克车
油滑,世故
入耳,中听
残缺,残破
万能,全能
警策,警励
嫁祸他人,以邻为壑
高大,魁岸
杳杳无踪,鸿飞冥冥
门第,家世
反对,否决
肆无忌惮,毫无所惧
告发,密告
调集,纠集
小心,当心
江河日下,一落千丈
宝塔,浮屠
死路,绝路末路
睥睨,顾盼
沁人心脾,沁人肺腑
离隔,隔开
鸭蛋虽密也有缝,百密一疏
良好,杰出
敲诈,欺诈
品行,操行
俯仰由人,仰人鼻息
蓬莱仙境,蓬瀛仙境
疲乏,疲惫
华而不实,脆而不坚
妙技,技术手段
报告,讲述
坚持,对峙
长久,长期
飞舞,飘动
拆字,测字
抱怨,埋怨
痛痒相关,息息相关
电影,片子
舟中敌国,亲信背叛
一石二鸟,一举两得
扶持,搀扶
安全,平安
心曲,襟曲
败坏,废弛
功效,功能
下贱,下流
庶务,碎务
开拓,开辟
决斗,决战
香喷喷,香馥馥
访问,拜访
救济,援助
申述,申说
颠三倒四,语无伦次
天南地北,天南海北
刮风,起风
费心,费神
坦怀相待,开心见诚
每况愈下,日就衰败
择要,摘要
偷窃,偷盗
穷苦人,穷鬼
故乡,田园
部门,部门
攀谈,交谈
泪如泉涌,两眼汪汪
共同努力,通力合作
基础,根本
办事,就事
灌输,灌注贯注
取缔,取消
准确,精确
十足,实足
滥杀无辜,视如草芥
手足昆季,昆仲
黄粱一梦,南柯一梦
怠惰,怠懈
年老,大哥
公子,令郎
瞠乎其后,难望项背
交头接耳,低声密语
耗费,消耗
兔死狗烹,鸟尽弓藏
和蔼可亲,蔼然可亲
谋害,密谋
抚养,扶养
劳苦功高,丰功伟绩
殚精竭虑,殚智竭力
隔阂,隔膜
接办,接手
仓促,仓皇
妖冶,明媚
扳连,瓜葛
结果,效果
集会,聚会会议
蓦地,陡然
变革,厘革
义士,烈士
颤动,颤抖
力求上进,力争上流
生机,生气希望
重任,重担
切身,亲身
闭门造车,凭空杜撰
泰半,大半
抨击,鞭挞
古井不波,老僧入定
盟国,友邦
呼,呵责
呆笨,鲁钝
使用,利用
夹杂,同化
失恃,丧母
志薄云霄,凌云壮志
困乏,困倦
鸠拙,笨拙
盛食厉兵,严阵以待
投机取巧,脚踏两船
别开生面,另具匠心
太平时世,清平世界
殚精竭虑,竭尽心思
号令,号召
沧海微尘,太仓一粟
群策群力,集思广益
佩服,钦佩
干证,旁证
变动,改观
瓦解,崩溃
闷闷不乐,怏怏不乐
教诲,教导
蔼然可亲,和蔼可亲
发兵,兴师
细致,详尽
玄学,形而上学
住所,居处
为人作嫁,耕人之田
古董,古玩
疲倦,倦怠
国土,领土
空地,空位
小扣,轻敲
虽然,固然
先驱,前驱
预感,预见
跳出火炕,逃出生天
愤恨,恼恨
泄漏天机,透露机密
爽利,爽气爽直
发妻,正室
同心并力,同心合力
单刀直入,刀刀见血
独占鳌头,夺得冠军
混合,混杂
损坏,破坏
多少,几多
补贴,补助
大概,或者
通同一气,通合一气
分别,分离
涉水,渡水
住持僧人,方丈和尚
君子,正人
付与,授予
哲人其萎,兰摧玉折
包容,包涵
定数,定命
活结,活扣
东倒西歪,七颠八倒
花名,混名
妨碍,妨害
八面见光,面面俱到
一起,一路
负伤,挂花
寂静,幽静
皮郛,皮囊
砥柱中流,擎天一柱
缱绻,缠绵
念念不忘,念兹在兹
鄙意,愚见
浮光掠影,走马看花
养虎遗患,姑息养奸
谋利,投机
印子钱,高利贷
大要,大体
昂首,举头
表扬,表彰
连结,保持
天南地北,不着边际
头脑,思维
三回九转,三回九曲
因地制宜,随机应变
前程,前途
敦朴,憨厚
朝三暮四,朝秦暮楚
悲啼,号哭
停止,终了
交迫,交煎
称颂,称赞
生死关头,紧要关头
管见,鄙见
夕阳,斜阳
船长,船主
戍卒,守兵
活该,该死
舍本逐末,本末倒置
寒暄,酬酢
勾勒,勾画
乱七八糟,参差不齐
黄泉,鬼域
一往直前,百折不回
强敌,劲敌
拾人牙慧,拾人涕唾
酒肆,酒坊
尘世,红尘
放手,甩手
淘汰,减少
书生,墨客
奔跑,奔驰
抱残守缺,固步自封
呈现,出现
拌合,搀合
必恭必敬,恭恭敬敬
林林总总,各色各样
南北极,两极
沥血以誓,歃血为盟
喁喁细语,咕咕唧唧
养分,营养
吉士,吉人
浑浊,污浊
白驹过隙,光阴似箭
博古通今,见闻广博
窟窿,洞穴
捏词,借口
开脱,摆脱
疲劳,委靡
割肉医疮,望梅止渴
口儿,口子
乌鸟私情,慈乌反哺
暖和,和缓
货币,钱币
劈面,扑面
倾注,倾泻
凝结,固结
偷偷摸摸,鬼鬼祟祟
不上不下,处境尴尬
冷酷,冷峭
急急,吃紧
不成才,不长进
领袖,首脑
波澜,波涛
盛气凌人,气焰万丈
胸有定见,心中有数
惨淡,暗澹
天南地北,海说神聊
麻木,麻痹
人多口杂,七嘴八舌
快要,将近
本领,才略
的确,切实其实
款式,式子
整装,束装
请教,就教
明朗,开阔爽朗
诽谤,毁谤
外行人,门外汉
回复复兴,复原
拔苗助长,适得其反
鬼鬼祟祟,偷偷摸摸
挪动转移,搬动
倔强,强硬
万试万灵,功效如神
鸡犬不留,寸草不留
暴虐,凶横
分配,分派
追悼,悲悼
倒塌,倾圮
榜样,楷模
打垮,打倒
奋起直追,急起直追
冲撞,抵触触犯
跋山涉水,抗尘走俗
假贷,借贷
更阑,夜阑
彪炳,特出
不由得,禁不住
反水不收,覆水难收
赴任,接事
输赢,胜负
来由,理由
苍翠,葱翠
驰名,驰誉
危急,危机
芳华,青春
谎言,假话
恭敬,恭顺
抛清,撇清
协定,协议
须臾,转瞬
蕴藉,含蓄
到处为家,断梗飘萍
有头无尾,虎头蛇尾
气力,实力
抱屈,抱冤
坦怀相待,肝胆相照
不计其数,不可胜数
朴直,刚直
旧帐,宿帐
磨练,考验
率领,带领
信心,信念
拜托,奉求
梦幻泡影,镜花水月
腾云驾雾,腾云跨风
干涉,干与
体贴,关心
勒令,迫令
咸宜,皆宜
围巾,领巾
反面,不和
老马识途,谙熟门路
联姻,联婚
书函,书牍
装饰,装潢
超越,超出
生存,生活
隔绝,隔断
心高气傲,骄气十足
借款,乞贷
打听,探问
离别,拜别
海疆,海域
宅忧,居丧
忍耐,忍受
崇敬,崇拜
密切,亲密
大略,简陋
厚待,厚遇
钱币,货币
分离,星散
浮浅,浅薄
私意,私衷
飞行,航行
教导,教诲
娴静,文静
消息,新闻
举措,行动
狼狈不堪,狼狈万状
话柄,口实
偏见,私见
担心,忧郁
砰然,隆然
节气,骨气
放肆荒唐,胡天胡地
悄悄,静静
屏气凝神,收视返听
轻慢,骄易
调治,调理
声势赫赫,浩浩荡荡
范围,局限
辽阔,广宽
轰动,颤动
良朋,益友
鄙弃,唾弃
美丽,漂亮
美意,好心
驱逐,遣散
了局,下场
及笄年华,豆蔻年华
刁滑,滑头
霸道,强横
态度冷静,平心易气
少年老成,后生可畏
把持,操纵
血肉横飞,伤亡枕藉
铁丝网,铁蒺藜
气候,气象
回销,返梢
哀肠百转,愁肠寸断
颠峰,极峰
当机不断,迟疑不决
警觉,警悟
蛰伏,冬眠
炒鱿鱼,卷铺盖
荒诞不经,荒谬绝伦
佳构,杰作
更换,替换
追念,回想
干系,关连
侦骑,逻骑
盛行,风行
夫唱妇随,鹿车共挽
群丑跳梁,群魔乱舞
手足无措,惊惶失措
熔化,融化
盘踞,占据
允许,许可
八方受敌,四面楚歌
收支,出入
不打不成相与,不打不相识
弹压,镇压
友谊,友情
天孙,王孙
捏造,假造
倾慕,爱慕
资源,资本
飘逸,萧洒
进步,前进
风骚,风流
挣脱,摆脱
查访,察访
阴暗,昏暗
领袖,魁首
空想,幻想
孤家寡人,孤苦伶仃
朴直,刚正
帖服,服帖
局势,事势
来路货,舶来品
元配,德配
在即,期近
结束,竣事
毕竟,究竟结果
价值千金,无价之宝
逐一,一一
立品,立身
王老五骗子,光棍
毕竟,究竟
嘲笑,讥笑
愣住,停住
火上加油,泼油救火
轮番,轮替
奸滑,刁猾
天经地义,理所当然
深宵,更阑
法则,轨则
大肠告小肠,饥肠辘辘
天井,庭院
管束,牵制
落日,夕照
了局,结局
消灭净尽,鸡犬不留
盘算,策画
寸心,寸衷
老例子,老规矩
绮年玉貌,年轻貌美
表态,亮相
泛论,总论
批评,评述
轻微,轻细
出息,前程
六神无主,魂飞魄散
陷落,沦陷
答应,承诺
应付,敷衍
欲望,愿望
服从,遵命
连系,连络
费力,艰苦
出生入死,南征北战
省掉,免却
凋零,凋落
头目,头子
不伤脾胃,惠而不费
短缺,缺乏
计谋,策略
剧烈,激烈
轻易,随意马虎
节省,节流
倾销,推销
尤物,美人
听说,传闻
确凿,确实
描绘,描画
本领,技巧
一针见血,提纲契领
珍贵,名贵
工厂,工场
星期,礼拜
罹难,遇难
漂亮,英俊
抚养,抚育
感想,感触
申说,申述
滚水,沸水
纪年,编年
拜望,访候
魂魄,灵魂
乘隙,趁机
审阅,核阅
散乱,狼藉
造诣,成就
早春,初春
挑,浮薄
玄妙,微妙
夙儒,老儒
清爽,清新
剖析,解析
暴虐,残酷
掌握,把握
他日,改日
兴旺,畅旺
原先,本来
惊慌,惊惶
小手小脚,计无所出
利用,使用
革新,改进
别史,外史
目若朗星,目若悬珠
蛮横,雕悍
气魄,气势
大模大样,高视阔步气宇轩昂
打扫,扫除
安排,放置
看法,意见
促进,增进
农历,夏历
后代,后世
订价,定价
讽刺,嘲讽
丰收,丰产
侦探,侦察
他日,另日
抱病,害病
谯楼,角楼
包办,经办
发热,发烧
灯烛辉煌,灯火辉煌
立足,容身
避难,遁迹
荒凉,冷落
拖麻拽布,披麻带孝
描述,描写
非常,十分
季节,季候
悬崖,绝壁
面前目今,眼前
泥淖,泥塘
漫谈,闲谈
人多口杂,七言八语
夹杂,搀杂
聘任,聘用
面庞,脸蛋
芬芳,芳香
扬汤止沸,负薪救火
率土同庆,普天同庆
舵手,梢公
音律,乐律
场合,场所
这样,如许
诈财,骗财
璧还,归赵
走走,逛逛
靠拢,挨近
离奇,古怪
发慌,发窘
精确,正确
消费,花费
启迪,启发
清闲,逍遥
悲哀,悲痛
告密,告发
反正,归正
平滑,光滑
财货,财贿
韶华,年光光阴
复杂,庞杂
紧密合作,合作无懈
高朋,嘉宾
心地,心肠
乖谬,谬妄
舟子,船夫
状况,状态
民气,人心
暴虐,惨酷
小房,斗室
霹雳战,闪电战
击鼓,伐鼓
虔诚,虔敬
懊恼,烦恼
批评,指摘
停战,寝兵
自诩,自夸
实事求是,脚踏实地
阐发,分析
简朴,简单
寒天,冷天
矫正,改正
蹂躏踹踏,踩踏辚轹
版图,国界
授室,娶妻
环境,情况
其中,此中
聪慧,聪明
谈笑,说笑
坚固,牢固
眼光,目光
货色,货品
漠视,疏忽
风浪,风波
两极,南北极
投军,当兵
刊定,改定
会集,会合
地痞,混混
朝梁暮陈,朝梁暮晋
以邻为壑,嫁祸他人
滥杀无辜,杀人如麻
久长,长久
抛弃,扔掉
才能,能力
山盟海誓,金石之盟
遣散,斥逐
平手,平局
家属,眷属
古迹,事迹
胆大心细,胆大心小
比力,比较
宽恕,饶恕
秃头,秃顶
手法,手段
闲雅,娴雅
牛头不对马嘴,驴唇不对马嘴
充足,充沛
起风,刮风
抚摸,抚摩
轻易,等闲
灿烂,光耀
展现,展示
固执,刚强
乘凉,纳凉
忘形,失色
保存,留存
漂泊,流落
悲泣,悲啼
缄口结舌,闭口无言
比拟,对比
活埋,生坑
屹立,矗立
节减,简略节略
披星带月,带月披星
搏命,冒死
非难,驳诘
卑鄙,下游
制造,制作
腾跃,腾踊
抽丰,打秋风
进步,提高
推行,践诺
色彩,颜色
谴责,训斥
苦衷,苦处
搏斗,奋斗
结果,了局
手忙脚乱,惊慌失措
相貌,边幅
觉醒,觉悟
大志,洪志
终极,最终
策应,接应
荡子,浪子
挽救,抢救
恐慌,惊恐
惦记,缅怀
奋起直追,迎头赶上
保留,保存
产业,财产
花白,斑白
美女,美男
处所,地方
捉拿,缉捕
源源而来,滔滔而至
披阅,披览
明镜高悬,洞烛奸邪
胸无点墨,目不识丁
符合,合适
不学而能,生而知之
诛求无厌,苟求不已
慷慨,大方
预报,预告
着末,末了
耕作,垦植
依靠,依附
含血喷人,血口喷人
清新,清爽
僻事,僻典
求过于供,供不应求
配置,设置装备摆设
清亮,清澈
叛逃,潜逃
即日,本日
特长,专长
不肯,不愿
过目成诵,目即成诵
德高望重,年高德劭
节俭,节省
酷爱,亲爱
潮流,潮水
错愕,惊惶
快快当当,急急巴巴
见告,告知
糟糠,荆布
建立,成立
遁词,饰词
出身,出生
唇亡齿寒,巢倾卵破
大公无私,为国损躯
不消,不用
本性,个性
怒气冲冲,怒气冲发
赶快,连忙
提及,说起
边界,界限
兰艾俱焚,兰艾同烬
车资,车费
规则,规矩
窒息,梗塞
鬼斧神工,巧夺天工
调用,挪用
挑衅,挑战
毒辣,狠毒
漂亮,摩登
置之不理,充耳不闻
假造,虚构
急忙,仓猝
列阵,排阵
俗儒,陋儒
火线,前线
宝物,宝贝
恳求,哀告
馂余,冷炙
伏罪,服罪
断绝,隔离
煽惑,煽动
密密层层,密密丛丛
溜冰,滑冰
籀文,大篆
农事,稼穑
赢得,博得
分派,分拨
建立,创设
混淆,混合
资本,本钱
太息,叹气
迫切,急切
气力,力量
讨教,请教
要挟,威胁
美人命薄,红颜薄命
足迹,萍踪
赐与,给予
流派,门户
捐钱,捐款
驳倒,驳斥
匀称,均匀
泛论,畅谈
旅店,酒店
洞烛奸邪,明镜高悬
预备,准备
独断专行,刚愎自用
古道,旧道
批驳,褒贬
丰硕,丰富
定都,建都
搭船,乘船
内幕,内情
了解,懂得
疏导,疏浚沟通
穿房入户,穿房过屋
辩论,争吵
从军,参军
剥削,抽剥
本领,本事
寒不择衣,慌不择路
顺其自然,天真烂漫
撕裂,扯破
过人才略,盘盘大才
感动,打动
目不邪视,目无流视
奔忙,奔波
耽误,迟误
打秋风,抽丰
服侍,奉养
这天,此日
贯注,灌注
黑暗,暗中
魁梧,魁伟
登陆,上岸
勇敢,大胆
威胁,要挟
泄电,漏电
旗号,旗帜
荡漾,激荡
养虎伤身,养痈遗患
安在,何在
面貌,面孔
整齐,整洁
接待,欢迎
悉索敝赋,倾尽国库
饮茶,吃茶品茗
空话,废话
考核,查核
软弱,薄弱虚弱
归天,丧生
顺理成章,瓜熟蒂落
串通,通同
仇视,敌视
单方面,片面
焦急,焦虑
发布,宣布
啰唆,噜苏
洼地,凹地
刊行,发行
夏日,夏季
娶妾,纳宠
怎样,如何
突然,倏忽
毁坏,损坏
贴近,切近
贴题,切题
至心,赤心
奋发图强,蹈厉奋发
交头接耳,窃窃私语
相同,不异
背注一掷,孤注一掷
互不侵犯,各不相犯
富裕,敷裕
山君,老虎
美人,佳丽
灭顶,没顶
剃头,剪发
牛骥同皂,泥沙俱下
抱头鼠窜,逃之夭夭
少不更事,年幼无知
如胶似漆,水乳交融
点火,焚烧
未可厚非,无可非议
好多,很多多少
复生,回生
加入,插足
举办,举行
近来,最近
文雅,高雅
固然,当然
梦寐以求,求之不得
淡薄,稀薄
疏导,疏通沟通
孑立,孤单
结果,成绩
敬佩,敬仰
惨怆,惨恻
报告,陈诉
推举,推荐
调换,更换
消除,清除
光彩,色泽
白腊,石蜡
财气,财运
放洋,出洋
法律,法令
恩怨,恩仇
水脚,水费
陵暴,陵虐
闪耀,闪烁
施礼,见礼
报告,陈说
茂盛,繁茂
假话,谎话
分离,离散
协调,调和
揣测,忖度
堆栈,客栈
采取,采用
意见意义,趣味
储备,贮备
约定,商定
扯谈,胡诌
哗闹,呼噪
忏悔,反悔
撒手尘寰,溘然长逝
清除,肃清
襟怀,肚量
斑白,花白
真相大白,水落石出
盼望,祈望
农人,农民
行礼,施礼
寂静,清静
水费,船脚
分散,涣散
计算,盘算
暧昧,暗昧
稠浊,混杂
罪大恶极,十恶不赦
排练,排演
更换,改换
匹马不还,匹马只轮
抽泣,抽咽
刻薄,苛刻
进程,历程
大概,梗概
貌寝,丑陋
声气,声息
仰食,仰给
断然,决然
部署,安排
迁移转变,转折
景致,景色
气贯长虹,气冲牛斗
丰年,康年
清瘦,清癯
灰心,悲观
留意,留神
直谏,切谏
后妻,继配
德配,元配
方正,朴直
比年,连年
网络,收集
怪样子,四不像
闷闷不乐,忽忽不乐
警励,警策
渗入渗出,渗透
不劳而获,坐享其成
谦虚,谦善
克日,即日
坚决,果断
零碎,零星
满意,满足
拘束,拘谨
何必,何须
屈打成招,私刑逼供
出尔反尔,言而无信
悠长,悠久
向往,神驰
怨愤,愤懑
跋山涉水,风餐露宿
逊谢,谦谢
山公,猴子
心满意足,得偿所愿
深秋,暮秋
熬炼,锻炼
行动,动作
灵柩,灵榇
反抗,抵拒
格局,格式
感动,激动
热烈,强烈热闹
好汉,英雄
奸骗,奸淫
得陇望蜀,漫无止境
意气消沉,心灰意冷
转意,回心
码头,船埠
光阴,岁月
根除,铲除
孤苦伶仃,离群索居
先辈,先进
蜚言,浮言
控制,掌握
刁滑,奸诈
功劳,功烈
弃捐,弃置
奏乐,吹打
阵势,步地
气呼呼,气
匪贼,强盗
鞭挞,抨击
惋惜,可惜
永久,永远
险路,险途
细姨,小老婆
鄙视,歧视
伊于胡底,如何了局
土头土脑,土气
惶惶,惶惑
停战,休战
燕徙,乔迁
丰裕,充盈
宏大,巨大
留步,停步
狷介,清高
母大虫,母老虎
暴虐,残忍
平易近人,和颜悦色
勾通,串通
传授,教授
不屈,不平
灵敏,敏锐
罔顾情面,打狗不看主人面
脓包,饭桶
茅屋,茅舍
度过,渡过
诽谤,中伤
英雄,豪杰
生养,生育
清偿,了债
烹饪,烹调
陵犯,侵陵
啼饥号寒,饥寒交迫
推心置腹,坦怀相待
淡漠,淡薄
生机勃勃,朝气蓬勃
访候,拜望
承继,继承
子女,后代
绝望,失望
泯没,湮灭
步伐,程序
乐工,乐师
口角,吵嘴
兵器,火器
筹备,准备
膳食,炊事
见怪,见责
仰人鼻息,举夺由人
落井下石,雪上加霜
河道,河流
了如指掌,管窥蠡测
接收,吸收
归途,归程
工场,工厂
忧国忧民,伤时感事
龙马精神,生气勃勃
大夫,医生
降落,下降
浮名,空名
飘零,漂荡
小雨,细雨
歪曲,曲解
鼎力玉成,大力成全
挪用,调用
吹牛,吹法螺
动手,脱手
阁房,内室
未定之天,前途难料
气,气呼呼
巡视,巡查
枉费,白费
以讹传讹,耳食之言
深谷,幽谷
盛会,嘉会
裂痕,裂缝
疑惑,困惑
裁人,裁员
末端,末尾
高深,精深
清晨,早晨
发奋,奋发
念经,念佛
肉搏,搏斗
义军,义兵
赋税,钱粮
注目,注视
舒怀,畅意
赤色,红色
美谈,嘉话
拔苗助长,揠苗助长
米珠薪贵,食玉炊桂
密切,亲切
心折,心服
恼,末路
自暴自弃,安于现状
经心,尽心
说话,措辞
配合,共同
付出,支出
勉力,竭力
誊录,抄写
公务,公事
前途似锦,鹏程万里
转变,改变
通告,公告
汹涌澎拜,风起云涌
疾言厉色,声色俱厉
轻巧,轻便
鸟语花香,柳绿桃红
灵活,灵动
旅客,搭客
垂死挣扎,狗急跳墙
说明,申明
黑幕,内幕
没趣,败兴
风采,风度
高枕而卧,无忧无虑
荷包,钱袋
爱情,恋爱
留宿,过夜
初志,初衷
蓬葆,蓬头
隐士,山人
东西,工具
横亘,绵亘
株式会社,股份有限公司
杂念,邪念
平沽,贱卖
倔强,顽强
同心专心,一心
寻思,覃思
粗鲁,卤莽
寒舍,舍间
分裂,割裂
势如破竹,长驱直入
谰言,滥调
泥沙俱下,牛骥同皂
长处,甜头
搜集,汇集
推举,选举
告罪,陪罪
美酒,琼浆
自由式泳法,爬泳
怒气冲发,怒气冲冲
老练,干练
无地自容,愧汗怍人
前往,前去
出谋划策,出谋献策
鬼鬼祟祟,鬼头鬼脑
吊唁,悼念
啼笑皆非,哭笑不得
吩咐,付托
缺课,旷课
模样形状,神态
远景,前景
出言如山,一言九鼎
奉告,告诉
诱骗,拐骗
举动,行为
洗沐,冲凉
栗栗不安,恐惧不安
转蓬,秋蓬
冷漠,冷淡
融合,融会
斗争,奋斗
叨教,请问
心心相印,心领神会
庞眉皓发,白发银须
国粹,国学
榜样,模范
见面,晤面
外温内厚,厚貌深情
美味,厚味
救援,救济
跑堂,侍者
苦恼,忧?
前车可鉴,前车之鉴
恰当,适当
祸端,祸根
感激,感谢感动
孤苦伶仃,举目无亲孤芳自赏
结实,健壮
在下,鄙人
备案,存案
丧失,损失
驴唇不对马嘴,牛头不对马嘴
除奸,锄奸
冬烘,腐儒
泰平承平,升平平安
屈从,服从
心口不一,言不由衷
讽刺,讥嘲
晃动,晃悠
茫无头绪,不得要领
恳,镌谕
肮脏,邋遢
委决不下,难以决断
纳凉,乘凉
开门见山,直言不讳
克服,战胜
中间,中心
服从,遵从
谈锋,口才
仍旧,仿照照旧
交谪,吵骂
遵从,服从
不期而遇,萍水相逢
乐不思蜀,乐而忘返
呆滞,凝滞
发号令,发号布令
偃蹇困穷,命途坎坷
题目,标题
海内,国内
错误,毛病
日志,日记
吉祥,祥瑞
放肆,猖狂
呼唤,呼叫
名顿开,恍然大悟
邋遢,肮脏
白日飞升,白日升天
时不再来,时不我待
媾和,讲和
扣留,截留
不胫而走,风行一时
任务,义务
杰出,卓异
赡养费,米饭钱
眼前,面前
超群绝伦,超群出众
恐吓,恫吓
平和,温和
做事,干事
安产,顺产
丑陋,丑恶
食客,门客
纷乱,缭乱
坠欢重拾,破镜重圆
纷纭,纷纷
湿漉漉,湿淋淋
翰札,函件
因循自误,过后行兵
内疚,忸怩
妩媚,娇媚
彻里彻外,彻上彻下
首恶,元凶
紧缩,压缩
攀龙附凤,接贵攀高
初创,始创
本地货,土产
设想,假想
默不作声,理屈词穷
不打不相识,不打不成相识
悲悼,哀悼
本子,簿子
丢魂失魄,失魂落魄
平静,沉静
局促一隅,僻处一方
权利,权力
陵犯,侵吞
进程,过程
相称,相等
入寇,犯境
舅家,外氏
争论,争辩
旷废,荒废
宿将,老将
态度冷静,平心定气
袭取,剿袭
面对,面临
高档,高级
不可一世,旁若无人
完蛋,垮台
和善,和气
懊悔,后悔
特殊,非凡
调皮,油滑
来岁,明年
焕然一新,面目一新
立即,当即
恰当,得当
胡闹,混闹
上帝,天主
方便,轻易
牝牡,雌雄
照顾护士,护理
侵陵,陵犯
耻辱,羞辱
恐惧,恐怖
利益,好处
满地荆棘,荆天棘地
驾驭,操作把持
匍匐,蒲伏
同等,划一
征采,搜寻
惨恻,凄怆
